対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,舘野　俊祐,Shunsuke Tachino,DF,Full Back,5036.0,4515.95,SB,サイドバック,LB (Position Group: Full Back),LB,Full Back,Shunsuke Tachino,FC大阪,2024|FC大阪|2454.50; 2025|FC大阪|2061.45,FC大阪,2024|FC大阪|3171.00; 2025|FC大阪|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,生駒　稀生,Kei Ikoma,DF,Full Back,4978.0,4407.38,SB,サイドバック,RB (Position Group: Full Back),RB,Full Back,Kei Ikoma,奈良,2025|奈良|2219.01; 2024|奈良|2188.37,奈良,2024|奈良|2871.00; 2025|奈良|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,松長根　悠仁,Yuto  Matsunagane,DF,Full Back,4773.0,4550.22,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,Yuto Matsunagane,福島,2025|福島|2701.35; 2024|福島|1848.87,福島,2024|福島|2305.00; 2025|福島|0.00,normalized,composite_normalized,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,文　仁柱,In Ju Mun,MF,Full Back,4746.0,4652.19,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,In-Ju Mun,岐阜,2025|岐阜|2976.02; 2024|岐阜|1676.17,岐阜,2024|岐阜|1995.00; 2025|岐阜|0.00,alias,alias,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08) / SC元データ名: In-Ju Mun
2024-2025,J3,樋口　大輝,Daiki Higuchi,DF,Full Back,4686.0,5026.95,SB,サイドバック,Left Wing Back (Position Group: Full Back),Left Wing Back,Full Back,Daiki Higuchi,松本,2025|松本|2571.63; 2024|松本|2455.32,松本,2024|松本|2366.00; 2025|松本|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,西谷　和希,Kazuki Nishiya,FW,Full Back,4520.0,5031.97,SB,サイドバック,Left Wing Back (Position Group: Full Back),Left Wing Back,Full Back,Kazuki Nishiya,金沢,2025|金沢|3534.32; 2024|金沢|1497.65,金沢,2024|金沢|1362.00; 2025|金沢|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,橋本　陸,Riku Hashimoto,DF,Full Back,4429.0,4011.4,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,Riku Hashimoto,FC大阪,2025|FC大阪|2410.03; 2024|相模原|1601.37,相模原,2024|相模原|2332.00; 2025|FC大阪|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,丸山　壮大,Sota Maruyama,MF,Full Back,4213.0,3673.37,SB,サイドバック,Right Wing Back (Position Group: Full Back),Right Wing Back,Full Back,Sota Maruyama,鳥取,2025|鳥取|2404.23; 2024|鳥取|1269.14,鳥取,2024|鳥取|1903.00; 2025|鳥取|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Kodai Dohi
2024-2025,J3,小島　雅也,Masaya Kojima,DF,Full Back,4188.0,3823.4,SB,サイドバック,RWB (Position Group: Full Back),RWB,Full Back,Masaya Kojima,金沢,2024|金沢|1974.05; 2025|金沢|1849.35,金沢,2024|金沢|2527.00; 2025|金沢|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,美馬　和也,Kazuya Mima,DF,Full Back,3987.0,3189.43,SB,サイドバック,RB (Position Group: Full Back),RB,Full Back,Kazuya Mima,FC大阪,2024|FC大阪|2505.11; 2025|FC大阪|684.32,FC大阪,2024|FC大阪|3278.00; 2025|FC大阪|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
