Issue_Type,FB_Name,FB_Pos,FB_Minutes,SC_Name,SC_Position_Group,SC_Minutes,Mapping_Source,Top_Score,Gap_to_Second,Name_Score,Vector_Score,Minutes_Score,Candidate_Count,Notes,Match_Vector_Score
low_confidence_top_candidate,松村　航希,FW,2099.0,Yusei Kayanuma,Center Forward,1551.89,auto_j3_outfield,71.75,2.11,25.81,93.48,73.93,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",63.67
low_confidence_top_candidate,アルトゥール　シルバ,MF,2360.0,Arthur Silva Feitoza,Midfield,1873.26,auto_j3_outfield,78.97,0.92,45.71,94.84,79.38,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",63.34
low_confidence_top_candidate,楠　大樹,MF,994.0,Hikaru Endo,Midfield,1179.67,auto_j3_outfield,78.38,20.12,40.0,96.07,84.26,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",63.09
low_confidence_top_candidate,牛之濵　拓,MF,2905.0,Haruki Izawa,Midfield,4064.1,auto_j3_outfield,71.58,0.36,47.62,81.06,71.48,9,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",63.01
low_confidence_top_candidate,坪川　潤之,MF,422.0,Hiroyuki Tsubokawa,Midfield,486.27,auto_j3_outfield,88.14,8.14,70.59,96.7,86.78,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",62.62
low_confidence_top_candidate,藤島　樹騎也,MF,1058.0,Atsushi  Kikutani,Midfield,1506.5,auto_j3_outfield,80.8,1.16,58.82,92.56,70.23,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",62.55
low_confidence_top_candidate,田中　陸,MF,2123.0,Yuzo Iwakami,Midfield,1242.79,auto_j3_outfield,73.44,4.22,43.48,89.5,58.54,10,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",62.05
low_confidence_top_candidate,布施谷　翔,MF,1333.0,Yosuke Kawai,Midfield,1236.77,auto_j3_outfield,82.19,6.26,46.15,98.2,92.78,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",61.95
low_confidence_top_candidate,椎名　伸志,MF,404.0,Naoki Inoue,Midfield,442.72,auto_j3_outfield,81.03,0.03,43.48,97.81,91.25,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",61.24
low_confidence_top_candidate,ブルーノ　サントス,FW,513.0,Bruno Santos de Oliveira,Center Forward,180.83,auto_j3_outfield,72.95,7.99,59.46,83.81,35.25,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",60.3
low_confidence_top_candidate,小川　真輝,DF,555.0,Masaki Ogawa,Full Back,133.74,auto_j3_outfield,79.82,10.5,90.91,81.02,24.1,10,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",60.3
low_confidence_top_candidate,増谷　幸祐,DF,1527.0,Kosuke Masutani,Central Defender,1131.44,auto_j3_outfield,86.98,10.44,76.47,93.52,74.1,10,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",60.25
low_confidence_top_candidate,山口　一真,MF,1154.0,Shusuke Yonehara,Midfield,2756.56,auto_j3_outfield,66.98,6.24,37.5,83.74,41.86,12,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",59.02
low_confidence_top_candidate,柳　雄太郎,MF,1732.0,Takahiro Nakazato,Midfield,1470.2,auto_j3_outfield,80.06,0.9,45.16,96.2,84.88,15,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.97
low_confidence_top_candidate,森　晃太,MF,5763.0,Kanta Jojo,Midfield,4471.13,auto_j3_outfield,78.69,1.01,52.63,90.66,77.58,9,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.88
low_confidence_top_candidate,石原　崇兆,MF,3760.0,Keisuke Oyama,Midfield,3249.45,auto_j3_outfield,70.14,0.38,42.86,78.15,86.42,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.78
low_confidence_top_candidate,普光院　誠,MF,4493.0,Daichi Soga,Midfield,4037.91,auto_j3_outfield,74.29,9.27,24.0,96.34,89.87,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.67
low_confidence_top_candidate,中島　賢星,MF,4969.0,Kensei Nakashima,Midfield,4420.75,auto_j3_outfield,82.66,3.42,52.63,96.1,88.97,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.59
low_confidence_top_candidate,國武　勇斗,MF,3086.0,Kensei Nakashima,Midfield,4420.75,auto_j3_outfield,71.87,0.37,42.42,84.92,69.81,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.16
low_confidence_top_candidate,内田　瑞己,DF,6271.0,Mizuki  Uchida,Full Back,6025.2,auto_j3_outfield,89.47,25.01,68.97,98.41,96.08,20,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.12
low_confidence_top_candidate,滝　裕太,MF,1777.0,Reo Yasunaga,Midfield,4517.77,auto_j3_outfield,66.49,0.72,38.1,82.95,39.33,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",58.09
