FB_Name,SC_Name,analysis_position_code,analysis_position_jp,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,cluster_id,cluster_distance_to_center
斉藤　諒,Ryo Saito,CB,センターバック,0.896555,0.860903,0.889818,1.619389,0.196321,-0.365476,-0.211493,-0.290241,-0.238089,-0.761307,3,2.574589
山内　琳太郎,Rintaro Yamauchi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.536281,0.908902,3,0.503324
寺阪　尚悟,Shogo Terasaka,CB,センターバック,0.411824,-1.251106,0.360011,0.517095,-1.387641,0.377662,0.676978,-1.155635,-0.405759,-0.286239,3,2.767603
今井　那生,Naiki Imai,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-1.542293,0.336492,1,1.776569
西野　奨太,Shota Nishino,CB,センターバック,-0.721967,1.123558,-0.964506,-0.036877,-0.741888,-0.478898,-0.099325,-0.119109,0.331421,-0.112090,3,2.150391
下堂　竜聖,Ryusei Shimodo,CB,センターバック,0.900790,-1.057481,0.015027,0.118147,0.656674,1.168025,0.230274,1.204201,0.106075,-0.800149,0,2.417366
田中　誠太郎,Seitaro Tanaka,CB,センターバック,1.434661,-0.476606,-0.964506,2.460623,-0.713232,-0.408987,-0.308566,1.032094,-1.867136,-0.365118,1,3.429127
都並　優太,Yuta Tsunami,CB,センターバック,1.118728,-0.746571,-0.964506,0.820852,1.116721,0.013900,-0.624930,2.277979,-2.703609,-2.136317,1,3.545544
山内　舟征,Shusei Yamauchi,CB,センターバック,-0.600542,-0.688570,1.305637,0.144197,-0.280647,1.409042,0.047506,-0.926819,-0.524893,0.183850,3,2.527325
奈良坂　巧,Takumi Narasaka,CB,センターバック,1.176477,0.562488,1.336314,0.016544,0.052868,-1.556485,-1.102531,-0.443943,0.220797,0.473871,3,2.643630
鍋田　純志,Atsushi Nabeta,CB,センターバック,0.388188,0.134626,-0.964506,0.378211,-0.512981,0.093758,-0.108970,1.194356,-1.356625,-0.924444,1,2.082305
内田　航平,Kohei Uchida,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.437493,0.183850,3,0.573897
酒井　崇一,Shuichi Sakai,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-0.558354,-0.489413,1,1.393103
東　廉太,Renta Higashi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-0.112939,-0.136303,3,1.062036
相馬　丞,Jo  Soma,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-1.491832,-1.110886,1,1.241264
端野　拓馬,Takuma Hashino,CB,センターバック,-3.209404,0.562488,0.328911,1.797661,-1.115161,-1.240445,-1.059799,-0.484339,-2.073635,-2.276148,2,3.860504
神谷　凱士,Kaito Kamiya,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-1.786831,-1.926570,1,1.668849
菊地　健太,Kenta Kikuchi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-1.083205,-0.334045,1,1.325024
ヘナン,Renan Dos Santos Paixão,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-0.507685,-0.924444,1,1.344290
木邨　優人,Yuto  Kimura,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-1.275364,-0.800149,1,1.194083
伊勢　渉,Wataru Ise,CB,センターバック,0.715012,1.373553,-0.964506,1.069013,1.095745,0.548696,-1.271068,1.073497,-1.891123,-1.746484,1,3.185313
大武　峻,Shun Obu,CB,センターバック,1.897833,-3.082442,-0.964506,-0.376221,2.344771,0.477149,-0.712892,0.069058,-2.494281,-2.397336,1,4.269152
竹内　悠力,Yuri Takeuchi,CB,センターバック,0.954706,-0.157048,-0.964506,0.544859,-0.360758,0.237822,-0.530559,1.389070,-2.226597,-1.887728,1,2.646800
佐藤　大翔,Hiroto  Sato,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-0.796054,-1.238006,1,1.269796
金城　ジャスティン俊樹,Justin Toshiki Kinjo,CB,センターバック,-1.630170,0.292493,-0.964506,-0.959471,1.407848,0.341433,0.742368,1.232469,-1.050701,-1.110886,1,3.283503
津覇　実樹,Jitsuki Tsuha,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-2.611392,-1.518728,1,1.966887
坂本　修佑,Shusuke Sakamoto,CB,センターバック,1.071020,-1.057481,-0.964506,0.393237,1.252369,-3.284433,-1.615049,-1.343091,-1.475444,0.021083,1,3.633326
平瀬　大,Dai Hirase,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-2.262925,-2.229538,1,2.076311
橋内　優也,Yuya Hashiuchi,CB,センターバック,1.220648,-1.057481,-0.964506,-0.788493,1.237502,1.475605,-1.340014,-0.694910,-2.703609,-2.397336,1,3.448888
川上　優樹,Yuki Kawakami,CB,センターバック,1.304724,0.292493,-0.964506,-1.091575,-0.303799,0.284344,0.266912,2.947995,0.737044,-0.955518,0,3.042671
高嶋　修也,Shuya Takashima,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,-1.742217,-1.887728,1,1.629300
工藤　駿,Shun  Kudo,CB,センターバック,-0.841510,0.967480,-0.964506,-0.550874,0.939986,1.025081,-0.029800,-1.704021,0.737044,1.530375,3,2.847395
國廣　周平,Shuhei Kunihiro,CB,センターバック,-0.188032,0.291143,-0.964506,2.158974,2.884409,0.090833,-0.605194,-0.733121,1.673937,-0.023308,3,3.832804
