FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
松村　航希,Koki Matsumura,SB,2,サイドバック,3.120632,-0.027447,0.39395,0.71218,-0.64654,0.164124,-1.386883,-0.683369,-0.366765,-2.473173,-0.551017,3.1206323260475592,1.078683,-3.390955,-3.1206323260475592,-2.716792,46,121,75,115
上野　輝人,Akito Ueno,SB,2,サイドバック,3.460705,-0.721067,-0.14033,0.462553,0.481285,-1.350519,1.933314,-1.421909,0.198338,0.720407,-1.812472,3.4607053271489323,-0.398844,-0.8937270000000002,-3.4607053271489323,0.9926899999999999,74,88,84,28
堤　奏一郎,Soichiro Tsutsumi,SB,3,サイドバック,4.569015,0.281267,0.161773,0.310697,3.796978,-0.579326,-0.976012,0.422597,0.546597,-3.005436,-0.328124,5.055432542048208,0.753737,-2.786963,-5.055432542048208,3.2435630000000004,52,118,113,12
河野　諒祐,Ryosuke Kawano,SB,2,サイドバック,0.615172,-0.690763,-0.559135,-0.619753,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.6151718105838401,-1.869651,-0.161028,-0.6151718105838401,-0.093431,94,63,3,67
永井　颯太,Sota Nagai,SB,2,サイドバック,0.588666,-0.565679,-0.481157,-0.627964,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.5886657415409868,-1.6748,-0.161028,-0.5886657415409868,-0.093431,90,60,2,64
福森　健太,Kenta Fukumori,SB,2,サイドバック,0.808924,-0.284555,-0.541192,-0.923045,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.8089236895022918,-1.748792,-0.161028,-0.8089236895022918,-0.093431,91,66,6,70
茂木　力也,Rikiya Motegi,SB,2,サイドバック,1.435627,-0.225653,-0.128901,-0.339688,1.153981,0.001241,-0.225799,-0.172405,-0.586748,-0.876738,-0.632719,1.4356278368302837,-0.694242,-2.0962050000000003,-1.4356278368302837,0.7557769999999999,77,112,19,34
高橋　秀典,Hidenori Takahashi,SB,2,サイドバック,0.935433,-0.165796,-0.074385,0.209926,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0.9354330320397073,-0.030255000000000004,-0.161028,-0.9354330320397073,-0.093431,66,71,9,75
西矢　慎平,Shimpei Nishiya,SB,0,サイドバック,2.517088,0.747744,0.50472,0.008385,0.67804,0.536422,0.267502,-1.026262,-1.264929,0.853473,-1.188696,2.672976250272344,1.2608489999999999,-1.6001519999999996,-2.672976250272344,-0.08072000000000001,42,103,56,46
下川　太陽,Taiyo Shimokawa,SB,2,サイドバック,2.304239,-0.766753,-0.370744,-0.226747,-0.576894,0.082855,1.18428,-0.315205,-1.796012,0.720407,0.172128,2.3042393657413283,-1.364244,-0.9034769999999999,-2.3042393657413283,0.29218099999999997,86,90,39,37
