対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,丹羽　詩温,Shion Niwa,FW,Center Forward,1344.0,1504.67,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Shion Niwa,讃岐,2024|讃岐|1128.95; 2025|讃岐|375.72,讃岐,2024|讃岐|1010.00; 2025|讃岐|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,藤井　一志,Kazushi Fujii,FW,Center Forward,1341.0,763.34,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Kazushi Fujii,大宮,2024|大宮|763.34,大宮,2024|大宮|1341.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,ピーダーセン　世穏,Jorn Pedersen,FW,Center Forward,1258.0,637.71,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Jorn Pedersen,YS横浜,2024|YS横浜|595.09; 2025|八戸|42.62,YS横浜,2024|YS横浜|1245.00; 2025|八戸|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,ラファエル　フルタード,Rafael Victor de Oliveira Furtado,FW,Center Forward,1250.0,1386.84,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Rafael Victor de Oliveira Furtado,相模原,2025|相模原|1386.84,相模原,2025|相模原|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,渡邉　颯太,Sota Watanabe,FW,Center Forward,1242.0,1409.6,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Sota Watanabe,北九州,2025|北九州|1183.31; 2024|北九州|226.29,北九州,2024|北九州|227.00; 2025|北九州|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,阪野　豊史,Toyofumi Sakano,FW,Center Forward,1240.0,795.63,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Toyofumi Sakano,今治,2024|今治|795.63,今治,2024|今治|1240.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,河田　篤秀,Atsushi Kawata,FW,Center Forward,1234.0,1367.81,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Atsushi Kawata,群馬,2025|群馬|1367.81,群馬,2025|群馬|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,マリソン,Marlyson Conceição Oliveira,FW,Center Forward,1209.0,780.5600000000001,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Marlyson Conceição Oliveira,金沢,2024|金沢|780.56,金沢,2024|金沢|1209.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,青木　翔大,Shota Aoki,FW,Center Forward,1198.0,1341.2,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Shota Aoki,群馬,2025|群馬|1341.20,群馬,2025|群馬|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,山本　宗太朗,Sotaro Yamamoto,MF,Midfield,1184.0,1138.0899999999997,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Sotaro Yamamoto,奈良,2025|奈良|674.45; 2024|奈良|463.64,奈良,2024|奈良|624.00; 2025|奈良|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Riki Tomizu
2024-2025,J3,松本　ケン　チザンガ,Ken Tshizanga Matsumoto,FW,Center Forward,1169.0,1503.85,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Ken Tshizanga Matsumoto,奈良,2024|奈良|1031.90; 2025|宮崎|471.95,奈良,2024|奈良|891.00; 2025|宮崎|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,白井　陽斗,Haruto Shirai,FW,Center Forward,1168.0,482.55,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Haruto Shirai,琉球,2024|琉球|482.55,琉球,2024|琉球|1168.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,ンドカ　チャールス,Charles Nduka,FW,Center Forward,1151.0,1342.27,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Charles Nduka,鹿児島,2025|鹿児島|1342.27,鹿児島,2025|鹿児島|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,松本　孝平,Kohei Matsumoto,FW,Center Forward,1131.0,1057.33,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Kohei Matsumoto,富山,2024|富山|659.09; 2025|讃岐|323.13; 2025|FC大阪|75.11,富山,2024|富山|824.00; 2025|FC大阪|0.00; 2025|讃岐|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
