対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,杉田　隼,Hayato Sugita,DF,Central Defender,2062.0,2255.75,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Hayato Sugita,松本,2025|松本|2255.75,松本,2025|松本|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,ピトリック,Kevin Pytlik,DF,Central Defender,2041.0,2342.49,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Kevin Pytlik,相模原,2025|相模原|2342.49,相模原,2025|相模原|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,當麻　颯,Hayate Toma,DF,Central Defender,1992.0,2177.2,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Hayate Toma,福島,2025|福島|2177.20,福島,2025|福島|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,左合　修土,Shuto Sago,DF,Central Defender,1987.0,2208.0,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Shuto Sago,讃岐,2025|讃岐|2150.48; 2024|讃岐|57.52,讃岐,2024|讃岐|36.00; 2025|讃岐|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,綿引　康,Ko Watahiki,DF,Central Defender,1912.0,1958.99,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Ko Watahiki,相模原,2025|相模原|1420.67; 2024|相模原|538.32,相模原,2024|相模原|715.00; 2025|相模原|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,野瀬　翔也,Shoya  Nose,DF,Central Defender,1861.0,2078.15,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Shoya Nose,群馬,2025|群馬|2078.15,群馬,2025|群馬|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,深津　康太,Kota Fukatsu,DF,Central Defender,1839.0,1437.33,CB,センターバック,CB (Position Group: Central Defender),CB,Central Defender,Kota Fukatsu,岩手,2024|岩手|1437.33,岩手,2024|岩手|1839.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,長谷川　光基,Koki Hasegawa,DF,Central Defender,1819.0,1487.2,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Koki Hasegawa,北九州,2025|北九州|1121.40; 2024|北九州|365.80,北九州,2024|北九州|727.00; 2025|北九州|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,砂森　和也,Kazuya Sunamori,DF,Central Defender,1804.0,1965.2,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Kazuya Sunamori,長野,2025|長野|1527.84; 2024|長野|437.36,長野,2024|長野|406.00; 2025|長野|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,齊藤　隆成,Ryusei Saito,DF,Central Defender,1793.0,1101.99,CB,センターバック,LCB (Position Group: Central Defender),LCB,Central Defender,Ryusei Saito,FC大阪,2024|FC大阪|1101.99,FC大阪,2024|FC大阪|1793.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
