player_name_raw_skillcorner,player_name_normalized,dominant_team_name,team_season_key,team_season_signature,season_scope,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source
Ryo Saito,Ryo Saito,岩手,2024|岩手,2024|岩手|619.67,2024-2025,619.67,LCB,441.37,71.23,Central Defender,RCB,178.3,28.77,Central Defender,"LCB(441min/71.2%), RCB(178min/28.8%)",CB,センターバック,LCB (Position Group: Central Defender)
Ryo Sato,Ryo Sato,FC大阪,2025|FC大阪,2025|FC大阪|1483.73,2024-2025,1483.73,Right Winger,1355.83,91.38,Wide Attacker,Right Midfield,51.53,3.47,Midfield,"Right Winger(1356min/91.4%), Right Midfield(52min/3.5%), Left Forward(35min/2.4%), Left Midfield(22min/1.5%), Center Forward(20min/1.3%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Ryo Shiohama,Ryo Shiohama,福島,2024|福島,2024|福島|2007.31,2024-2025,2007.31,RF,1595.96,79.51,Wide Attacker,RW,264.77,13.19,Wide Attacker,"RF(1596min/79.5%), RW(265min/13.2%), CF(147min/7.3%)",SH,サイドハーフ,RF (Position Group: Wide Attacker)
Ryo Takano,Ryo Takano,相模原,2025|相模原; 2024|相模原,2025|相模原|1622.82; 2024|相模原|1576.88,2024-2025,3199.7,LWB,1576.88,49.28,Full Back,Right Midfield,730.36,22.83,Midfield,"LWB(1577min/49.3%), Right Midfield(730min/22.8%), Left Wing Back(704min/22.0%), Right Wing Back(130min/4.1%), Left Winger(59min/1.8%)",SB,サイドバック,LWB (Position Group: Full Back)
Ryo Tanada,Ryo Tanada,鳥取,2025|鳥取,2025|鳥取|641.56,2024-2025,641.56,Center Forward,330.19,51.47,Center Forward,Left Winger,95.55,14.89,Wide Attacker,"Center Forward(330min/51.5%), Left Winger(96min/14.9%), Right Winger(77min/12.0%), Right Midfield(68min/10.7%), Left Midfield(36min/5.6%), Right Center Back(34min/5.4%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Ryo Toyama,Ryo Toyama,岐阜,2025|岐阜,2025|岐阜|3489.31,2024-2025,3489.31,Right Back,1646.84,47.2,Full Back,Left Back,1390.63,39.85,Full Back,"Right Back(1647min/47.2%), Left Back(1391min/39.9%), Right Wing Back(198min/5.7%), Left Wing Back(98min/2.8%), Left Center Back(97min/2.8%), Left Winger(58min/1.7%)",SB,サイドバック,Right Back (Position Group: Full Back)
Ryohei Wakizaka,Ryohei Wakizaka,YS横浜,2024|YS横浜; 2025|八戸,2024|YS横浜|1045.56; 2025|八戸|335.97,2024-2025,1381.53,CF,512.99,37.13,Center Forward,AM,344.69,24.95,Midfield,"CF(513min/37.1%), AM(345min/24.9%), Left Midfield(111min/8.0%), LW(88min/6.4%), Left Wing Back(80min/5.8%), Left Winger(70min/5.1%), LF(65min/4.7%), LM(35min/2.5%), Center Forward(33min/2.4%), Right Midfield(32min/2.3%), Defensive Midfield(10min/0.8%)",FW,フォワード,CF (Position Group: Center Forward)
Ryohei Watanabe,Ryohei Watanabe,沼津,2025|沼津,2025|沼津|1067.98,2024-2025,1067.98,Center Midfield,390.35,36.55,Midfield,Right Midfield,271.57,25.43,Midfield,"Center Midfield(390min/36.6%), Right Midfield(272min/25.4%), Left Midfield(200min/18.8%), Defensive Midfield(183min/17.1%), Right Winger(23min/2.2%)",CMF,セントラルMF,Center Midfield (Position Group: Midfield)
Ryoji Fujimori,Ryoji Fujimori,長野,2025|長野; 2024|長野,2025|長野|925.96; 2024|長野|320.14,2024-2025,1246.1,Left Winger,345.79,27.75,Wide Attacker,Left Wing Back,187.2,15.02,Full Back,"Left Winger(346min/27.7%), Left Wing Back(187min/15.0%), Right Forward(131min/10.5%), CF(129min/10.4%), Right Wing Back(96min/7.7%), Left Forward(73min/5.8%), LWB(72min/5.8%), RWB(57min/4.6%), Right Winger(40min/3.2%), Attacking Midfield(35min/2.8%), RW(28min/2.3%), Center Forward(19min/1.5%), RF(14min/1.2%), LW(13min/1.0%), LF(6min/0.5%)",SH,サイドハーフ,Left Winger (Position Group: Wide Attacker)
Ryoji Yamashita,Ryoji Yamashita,相模原,2024|相模原,2024|相模原|1607.88,2024-2025,1607.88,LCB,1300.62,80.89,Central Defender,CB,295.83,18.4,Central Defender,"LCB(1301min/80.9%), CB(296min/18.4%), LWB(11min/0.7%)",CB,センターバック,LCB (Position Group: Central Defender)
Ryoma Eguchi,Ryoma Eguchi,宮崎,2024|宮崎,2024|宮崎|50.50,2024-2025,50.5,RM,50.5,100.0,Midfield,,,,,RM(50min/100.0%),SH,サイドハーフ,RM (Position Group: Midfield)
Ryoma Ishida,Ryoma Ishida,岐阜,2024|岐阜; 2025|岐阜,2024|岐阜|1709.67; 2025|岐阜|655.86,2024-2025,2365.53,RB,1485.22,62.79,Full Back,Right Back,388.64,16.43,Full Back,"RB(1485min/62.8%), Right Back(389min/16.4%), RWB(224min/9.5%), Right Winger(64min/2.7%), Right Midfield(56min/2.4%), Left Back(55min/2.3%), Right Wing Back(49min/2.1%), Attacking Midfield(32min/1.4%), Left Forward(11min/0.5%)",SB,サイドバック,RB (Position Group: Full Back)
Ryoma Ishii,Ryoma Ishii,福島,2025|福島,2025|福島|386.78,2024-2025,386.78,Center Forward,336.19,86.92,Center Forward,Right Forward,24.28,6.28,Wide Attacker,"Center Forward(336min/86.9%), Right Forward(24min/6.3%), Right Winger(18min/4.8%), Left Forward(8min/2.0%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Ryoma Kita,Ryoma Kita,岐阜,2025|岐阜; 2024|岐阜,2025|岐阜|2785.87; 2024|岐阜|1636.37,2024-2025,4422.24,Left Midfield,2069.4,46.8,Midfield,LM,1397.67,31.61,Midfield,"Left Midfield(2069min/46.8%), LM(1398min/31.6%), Right Midfield(348min/7.9%), Left Defensive Midfield(322min/7.3%), RM(99min/2.2%), DM(99min/2.2%), Right Forward(46min/1.0%), LDM(29min/0.6%), RDM(11min/0.3%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Ryonosuke Kabayama,Ryonosuke Kabayama,北九州,2025|北九州,2025|北九州|1834.19,2024-2025,1834.19,Attacking Midfield,633.41,34.53,Midfield,Left Winger,462.96,25.24,Wide Attacker,"Attacking Midfield(633min/34.5%), Left Winger(463min/25.2%), Right Winger(360min/19.6%), Left Midfield(189min/10.3%), Center Midfield(99min/5.4%), Center Forward(90min/4.9%)",ST,セカンドトップ,Attacking Midfield (Position Group: Midfield)
Ryosuke Kawano,Ryosuke Kawano,相模原,2025|相模原,2025|相模原|2068.20,2024-2025,2068.2,Left Wing Back,1087.74,52.59,Full Back,Right Midfield,363.71,17.59,Midfield,"Left Wing Back(1088min/52.6%), Right Midfield(364min/17.6%), Right Wing Back(329min/15.9%), Right Winger(247min/11.9%), Left Winger(41min/2.0%)",SB,サイドバック,Left Wing Back (Position Group: Full Back)
